sampleID	valid_AphiaID	ww
2474	12	4.012
2474	177484	0.979
2474	627627	0.21
2474	162673	30.748
2474	162673	1.35
2474	146585	0.045
2474	609460	3.562
2474	160567	NA
2474	17640	85.836
2474	17640	33.588
2474	5	120.17
2474	5	29.856
2474	179320	18.179
2474	109603	9.794
2474	109473	4.266
2474	109538	49.714
2474	109538	1.068
2474	109538	51.643
2474	110156	60.77
2474	110007	0.742
2474	110208	3.858
2474	388485	0.187
2474	160599	17.26
2474	149074	2.612
2474	156690	3.562
2474	418624	0.364
2474	149142	0.111
2474	149028	0.059
2474	134529	6.018
2474	134529	3.919
2474	160591	0.449
2474	163101	0.028
2475	12	23.808
2475	177484	0.371
2475	162673	31.903
2475	162673	16.188
2475	609460	19.716
2475	160567	0.002
2475	17640	96.463
2475	17640	32.838
2475	5	106.725
2475	5	220.838
2475	5	160.087
2475	179320	2.363
2475	118051	4.937
2475	109603	18.23
2475	109473	0.084
2475	109538	1.688
2475	109538	2.498
2475	109538	17.893
2475	110156	1.182
2475	160599	2.052
2475	160524	0.81
2475	156690	2.701
2475	149045	0.042
2475	149028	0.034
2475	134529	0.616
2475	134529	6.896
2475	160591	0.253
2475	248141	0.76
2476	12	60.645
2476	177484	11.264
2476	146645	7.04
2476	146546	0.059
2476	162673	25.536
2476	249690	2.616
2476	609460	184.32
2476	160567	0.002
2476	17640	17.54
2476	248151	33.295
2476	5	79.076
2476	179320	10.88
2476	118051	33.12
2476	109603	26.88
2476	109473	2.973
2476	109538	3.072
2476	110155	3.2
2476	160599	4.459
2476	162770	44.8
2476	148912	4.459
2476	156690	23.04
2476	148899	0.595
2476	149343	7.328
2476	17657	38.349
2476	134529	2.676
2476	134529	10.821
2476	160591	0.206
2476	178611	5.351
2476	178936	5.946
2476	178936	8.918
2480	177484	54.242
2480	146546	0.284
2480	162673	1.329
2480	162673	13.807
2480	249690	2.195
2480	609460	17.086
2480	160567	0.002
2480	177590	0.104
2480	17640	2.219
2480	17640	3.698
2480	17640	29.586
2480	115090	0.247
2480	115090	3.575
2480	5	15.286
2480	179320	57.31
2480	118051	1.068
2480	109538	4.746
2480	109538	35.596
2480	110156	16.612
2480	110155	30.85
2480	110208	1.898
2480	110223	11.865
2480	160553	0.789
2480	388485	24.655
2480	160599	239.157
2480	148985	5.424
2480	149297	33.731
2480	149120	0.664
2480	163063	58.615
2480	160524	67.989
2480	149074	6.041
2480	156690	53.157
2480	156690	5.695
2480	163624	1.697
2480	149142	1.233
2480	17657	2.219
2480	134529	0.173
2480	18526	0.493
2480	163108	0.493
2480	622807	0.493
2480	160591	1.154
2480	248141	19.724
2480	178936	32.052
2480	249712	0.197
2480	580116	0.399
2481	177484	24.81
2481	146546	0.169
2481	162673	1.728
2481	162673	7.894
2481	249690	0.771
2481	609460	21.718
2481	160567	0.002
2481	146552	2.468
2481	177590	1.493
2481	17640	1.466
2481	17640	1.692
2481	17640	33.832
2481	115090	8.599
2481	5	20.017
2481	179320	62.626
2481	109538	9.872
2481	109538	25.914
2481	110156	17.276
2481	110155	12.34
2481	110208	4.936
2481	110223	15.425
2481	388485	71.048
2481	160599	169.161
2481	148985	4.511
2481	149297	132.26
2481	465524	10.983
2481	163063	83.604
2481	160524	188.062
2481	149074	34.537
2481	156690	118.464
2481	156690	37.02
2481	149142	1.41
2481	134529	2.96
2481	18526	1.692
2481	178583	1.974
2481	839898	0.169
2481	164095	5.075
2481	163108	0.846
2481	160591	0.99
2481	248141	8.458
2481	249712	0.451
2481	580116	2.487
2482	177484	43.418
2482	146546	0.099
2482	162673	20.722
2482	249690	21.575
2482	609460	15.867
2482	160567	0.002
2482	177590	4.781
2482	17640	0.888
2482	17640	3.207
2482	17640	2.467
2482	115090	1.727
2482	5	11.841
2482	179320	276.199
2482	109603	2.532
2482	109477	1.48
2482	109538	1.688
2482	109538	22.366
2482	110007	2.11
2482	110155	16.88
2482	110208	3.376
2482	110210	15.297
2482	110223	52.75
2482	571996	3.7
2482	388485	10.361
2482	160599	171.451
2482	149297	12.483
2482	163063	8.634
2482	160524	193.653
2482	341285	0.444
2482	149271	37.98
2482	149074	189.953
2482	156690	74.272
2482	156690	15.192
2482	163624	5.486
2482	149014	13.757
2482	149142	4.934
2482	149046	0.74
2482	134566	0.074
2482	134529	7.771
2482	18526	1.233
2482	178583	0.987
2482	178623	3.084
2482	160591	1.924
2482	248141	14.802
2482	178936	22.202
2482	249712	0.247
2482	580116	3.441
2483	177484	95.519
2483	146546	0.513
2483	162673	5.194
2483	162673	5.526
2483	249690	72.438
2483	609460	51.05
2483	160567	0.002
2483	177590	10.447
2483	17640	0.474
2483	17640	3.947
2483	17640	3.947
2483	115090	0.691
2483	5	8.092
2483	179320	263.596
2483	109603	4.452
2483	109538	0.742
2483	110155	3.71
2483	110210	16.138
2483	160553	0.316
2483	571996	5.921
2483	178594	3.947
2483	388485	30.787
2483	160599	133.214
2483	149297	2.723
2483	163063	6.907
2483	160524	47.365
2483	341285	0.158
2483	149271	33.39
2483	149074	75.981
2483	156690	71.232
2483	149014	46.301
2483	149142	3.947
2483	149150	0.296
2483	17657	1.776
2483	163247	1.113
2483	134566	0.257
2483	134529	3.73
2483	178583	2.763
2483	178623	40.458
2483	163108	0.099
2483	160591	2.745
2483	248141	17.762
2483	178936	7.894
2483	580116	1.723
2484	177484	162.817
2484	146546	0.222
2484	162673	75.981
2484	249690	761.182
2484	146585	0.001
2484	146585	2.743
2484	609460	195.808
2484	160567	0.002
2484	146552	4.22
2484	177590	8.124
2484	17640	0.74
2484	17640	4.687
2484	115090	5.921
2484	5	21.462
2484	179320	107.082
2484	109538	4.22
2484	109538	2.11
2484	110155	21.1
2484	571996	25.903
2484	178594	17.268
2484	388485	68.58
2484	160599	167.751
2484	149297	3.404
2484	341285	0.518
2484	149074	29.356
2484	149014	17.724
2484	149142	1.233
2484	149150	0.37
2484	134566	0.025
2484	134529	0.518
2484	178583	0.987
2484	178623	3.7
2484	160591	4.843
2484	248141	41.938
2484	580116	1.221
2485	177484	62.026
2485	146546	0.874
2485	162673	51.312
2485	249690	73.736
2485	146585	NA
