id	Domain	Kingdom	Subkingdom	Infrakingdom	Phylum	Subphylum	Infraphylum	Superclass	Class	Subclass	Superorder	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Subspecies	Variety	Forma	valid_name
160537	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Melosirales	NA	Melosiraceae	NA	Melosira	NA	Melosira arctica	NA	NA	NA	Melosira arctica
110156	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Gonyaulacales	NA	Cladopyxidaceae	NA	Peridiniella	NA	Peridiniella catenata	NA	NA	NA	Peridiniella catenata
106303	Eucaryota	Chromista	Hacrobia	NA	Cryptophyta	NA	NA	NA	Cryptophyceae	NA	NA	Pyrenomonadales	NA	Geminigeraceae	NA	Plagioselmis	NA	Plagioselmis prolonga	NA	NA	NA	Plagioselmis prolonga
1380043	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Thoracosphaerales	NA	Thoracosphaeraceae	NA	Apocalathium	NA	Apocalathium malmogiense	NA	NA	NA	Apocalathium malmogiense
149074	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Thalassiosiranae	Thalassiosirales	NA	Skeletonemaceae	NA	Skeletonema	NA	Skeletonema costatum	NA	NA	NA	Skeletonema costatum
19542	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dinophyceae
106285	Eucaryota	Chromista	Hacrobia	NA	Cryptophyta	NA	NA	NA	Cryptophyceae	NA	NA	Pyrenomonadales	NA	Geminigeraceae	NA	Teleaulax	NA	NA	NA	NA	NA	Teleaulax
156690	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Thalassiosiranae	Thalassiosirales	NA	Thalassiosiraceae	NA	Thalassiosira	NA	Thalassiosira baltica	NA	NA	NA	Thalassiosira baltica
146715	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Oscillatoriophycideae	NA	Chroococcales	NA	Aphanothecaceae	NA	Aphanothece	NA	NA	NA	NA	NA	Aphanothece
149120	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Chaetocerotanae	Chaetocerotanae incertae sedis	NA	Chaetocerotaceae	NA	Chaetoceros	NA	Chaetoceros danicus	NA	NA	NA	Chaetoceros danicus
