sampleID	stn	lat	lon	obstime	Salin	Temp	chla	Ptot	Ntot	PO4	pH	NH4	NO3	dist	stnDepth
17244	87	60.193	24.848	1966-06-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
3729	68	60.136	24.86	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3732	68	60.136	24.86	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3733	68	60.136	24.86	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
16818	71	60.145	24.859	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16820	71	60.145	24.859	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16821	71	60.145	24.859	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16922	75	60.158	24.831	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
16923	75	60.158	24.831	1966-06-08	NA	6.7	NA	NA	NA	1.29	8.4	20.714	0.643	649	8
16924	75	60.158	24.831	1966-06-08	NA	3.4	NA	NA	NA	1.29	8	4.643	1.714	649	8
17164	81	60.183	24.841	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17165	81	60.183	24.841	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17245	87	60.193	24.848	1966-06-08	NA	14.2	NA	NA	NA	5.484	9.1	12.857	8.571	423	3.5
17246	87	60.193	24.848	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17247	87	60.193	24.848	1966-06-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17248	87	60.193	24.848	1966-06-08	NA	12.5	NA	NA	NA	4.194	8.5	42.857	7.143	423	3.5
3734	68	60.136	24.86	1966-06-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
16822	71	60.145	24.859	1966-06-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
17166	81	60.183	24.841	1966-06-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17249	87	60.193	24.848	1966-06-13	NA	19.2	NA	NA	NA	10	NA	6.429	0	423	3.5
3735	68	60.136	24.86	1966-06-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3736	68	60.136	24.86	1966-06-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
17250	87	60.193	24.848	1966-06-29	NA	20.6	NA	NA	NA	15.161	8.9	2.143	NA	423	3.5
17251	87	60.193	24.848	1966-06-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
2572	44	60.143	24.966	1966-07-06	NA	14.875	NA	NA	NA	1.169	8.35	1.786	0	1264	21
2612	36	60.147	25.137	1966-07-06	NA	14.25	NA	NA	NA	1.048	8.25	8.571	0.322	2665	33
3737	68	60.136	24.86	1966-07-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
5927	18	60.149	25.001	1966-07-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	1463	17
16399	25	60.193	25.087	1966-07-06	NA	18.5	NA	NA	NA	1.452	8.4	6.429	0	331	5
17796	92	60.175	24.878	1966-07-06	NA	18.1	NA	NA	NA	4.194	8.7	NA	NA	1305	14.3
18154	111	60.194	25.195	1966-07-06	NA	16.1	NA	NA	NA	1.29	8.1	8.571	0.286	690	13
3738	68	60.136	24.86	1966-07-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
16823	71	60.145	24.859	1966-07-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16925	75	60.158	24.831	1966-07-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17167	81	60.183	24.841	1966-07-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17252	87	60.193	24.848	1966-07-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
3739	68	60.136	24.86	1966-07-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
17253	87	60.193	24.848	1966-07-18	NA	20	NA	NA	NA	11.29	9.6	9.286	NA	423	3.5
3740	68	60.136	24.86	1966-07-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3741	68	60.136	24.86	1966-07-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
18155	111	60.194	25.195	1966-07-20	NA	15.5	NA	NA	NA	0.484	8.3	2.143	0.571	690	13
3743	68	60.136	24.86	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
16824	71	60.145	24.859	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16826	71	60.145	24.859	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16827	71	60.145	24.859	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16926	75	60.158	24.831	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
16927	75	60.158	24.831	1966-07-27	NA	19.3	NA	NA	NA	1.097	8.2	8.571	NA	649	8
16928	75	60.158	24.831	1966-07-27	NA	19	NA	NA	NA	1	8.2	0.143	NA	649	8
17168	81	60.183	24.841	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17169	81	60.183	24.841	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17254	87	60.193	24.848	1966-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17255	87	60.193	24.848	1966-07-27	NA	21.5	NA	NA	NA	10.645	7.8	4.286	NA	423	3.5
3745	68	60.136	24.86	1966-08-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
17256	87	60.193	24.848	1966-08-01	NA	20	NA	NA	NA	11.935	9.1	NA	0	423	3.5
2573	44	60.143	24.966	1966-08-03	NA	18.275	NA	NA	NA	0.145	8.2	NA	NA	1264	21
2613	36	60.147	25.137	1966-08-03	NA	17.9	NA	NA	NA	0.096	8.3	NA	0.107	2665	33
5928	18	60.149	25.001	1966-08-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	1463	17
15904	4	60.193	24.991	1966-08-03	NA	20.1	NA	NA	NA	1.323	9.1	NA	NA	329	2.5
16400	25	60.193	25.087	1966-08-03	NA	20.5	NA	NA	NA	0.935	8.5	NA	0.5	331	5
17797	92	60.175	24.878	1966-08-03	NA	19.9	NA	NA	NA	3.161	8.7	NA	NA	1305	14.3
18156	111	60.194	25.195	1966-08-03	NA	18.3	NA	NA	NA	0.161	8.3	NA	0.143	690	13
3746	68	60.136	24.86	1966-08-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
16828	71	60.145	24.859	1966-08-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16929	75	60.158	24.831	1966-08-10	NA	18.5	NA	NA	NA	1.452	8.1	NA	0.214	649	8
16930	75	60.158	24.831	1966-08-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
16931	75	60.158	24.831	1966-08-10	NA	18.5	NA	NA	NA	1.548	8.1	NA	0.357	649	8
17170	81	60.183	24.841	1966-08-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17171	81	60.183	24.841	1966-08-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17257	87	60.193	24.848	1966-08-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17258	87	60.193	24.848	1966-08-10	NA	19.2	NA	NA	NA	10	10	NA	0.071	423	3.5
17798	92	60.175	24.878	1966-08-18	NA	NA	NA	NA	NA	2.581	8.7	NA	NA	1305	14.3
3748	68	60.136	24.86	1966-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
16830	71	60.145	24.859	1966-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690	20.5
16932	75	60.158	24.831	1966-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17172	81	60.183	24.841	1966-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17259	87	60.193	24.848	1966-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17260	87	60.193	24.848	1966-09-07	NA	15	NA	NA	NA	5.484	9.5	12.143	0	423	3.5
5929	18	60.149	25.001	1966-09-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	1463	17
15905	4	60.193	24.991	1966-09-14	NA	13.6	NA	NA	NA	1.806	8.7	NA	NA	329	2.5
16401	25	60.193	25.087	1966-09-14	NA	13.4	NA	NA	NA	0.097	8.4	8.571	0.357	331	5
18157	111	60.194	25.195	1966-09-14	NA	13.3	NA	NA	NA	0.161	8.1	5	0	690	13
16933	75	60.158	24.831	1966-09-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17261	87	60.193	24.848	1966-09-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
3749	68	60.136	24.86	1966-09-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3750	68	60.136	24.86	1966-09-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
17262	87	60.193	24.848	1966-09-29	NA	6.6	NA	NA	NA	NA	8.7	NA	NA	423	3.5
17263	87	60.193	24.848	1966-09-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
3781	68	60.136	24.86	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3783	68	60.136	24.86	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3784	68	60.136	24.86	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4456	125	60.098	24.892	1967-06-06	5.68	7.7	NA	NA	NA	0.129	8	0	7.143	5727	28
4457	125	60.098	24.892	1967-06-06	5.68	7	NA	NA	NA	0.161	8	7.143	7.143	5727	28
4458	125	60.098	24.892	1967-06-06	5.68	7	NA	NA	NA	0.161	8	7.143	7.143	5727	28
16944	75	60.158	24.831	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17181	81	60.183	24.841	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17281	87	60.193	24.848	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17282	87	60.193	24.848	1967-06-06	4.8	15.3	NA	12.903	NA	10.968	8.1	7.143	0.714	423	3.5
3785	68	60.136	24.86	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3787	68	60.136	24.86	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3788	68	60.136	24.86	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4150	107	60.113	24.768	1967-06-27	5.91	9.5	NA	NA	NA	NA	8.6	32.143	0.714	1666	18
4459	125	60.098	24.892	1967-06-27	5.86	9.4	NA	NA	NA	NA	8.1	2.143	0.714	5727	28
4461	125	60.098	24.892	1967-06-27	5.86	9.4	NA	NA	NA	NA	8.1	2.857	0.714	5727	28
